ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs
GOOGL,Alphabet Inc,-2.51,-1.16,0,0,35
MSFT,Microsoft Corporation,5.45,10.65,100,92,1
TSLA,Tesla Inc,-1.43,14.19,60,36,1
NVDA,NVIDIA Corporation,-1.45,5.8,17,0,72
AAPL,Apple Inc,-0.14,15.11,94,62,74
AVGO,Broadcom Inc,4.73,7.03,100,56,84
META,Meta Platforms Inc,-0.44,3.37,65,27,28
AMD,Advanced Micro Devices,-0.38,45.59,98,97,97
ASMLF,ASML Holding N.V.,1.2,14.07,78,60,89
XOM,Exxon Mobil Corporation,-1.16,-5.24,0,0,66
TCTZF,Tencent Holdings Limited,-3.76,-10.01,0,0,8
MA,Mastercard Incorporated,0.05,-1.78,0,0,21
LRCX,Lam Research Corporation,0.06,23.39,87,82,95
PLTR,Palantir Technologies Inc.,9.21,12.53,100,86,53
CVX,Chevron Corporation,-0.31,-4.75,0,0,62
AMAT,"Applied Materials, Inc.",0.08,14.23,83,71,93
KO,The Coca-Cola Company,-1.74,0.32,0,0,48
RHHBY,Roche Holding AG,0.08,2.99,24,0,57
RHHBF,Roche Holding AG,-3.46,0.77,17,5,41
ACGBY,Agricultural Bank of China Limited,1.83,-3.91,14,9,55
BABAF,Alibaba Group Holding Limited,-5.33,-4.26,0,0,22
CYATY,CYATY,2.48,19.76,100,100,65
CICHY,China Construction Bank Corporation,-0.18,-4.21,0,0,53
CICHF,China Construction Bank Corporation,0.0,-10.17,0,0,51
SFTBF,SoftBank Group Corp.,3.19,45.73,91,89,55
NVS,Novartis AG,-0.81,1.57,24,0,57
SFTBY,SoftBank Group Corp.,-2.35,39.12,82,80,94
NVSEF,Novartis AG,-1.59,-0.78,0,0,44
BACHY,Bank of China Limited,1.16,2.16,18,10,58
KLAC,KLA Corporation,-0.31,9.93,55,45,92
TOYOF,Toyota Motor Corporation,-1.9,-1.34,10,0,23
LRLCF,L'Oréal S.A.,0.35,1.87,66,37,38
SMAWF,Siemens Aktiengesellschaft,-0.93,5.15,24,5,58
PANW,"Palo Alto Networks, Inc.",9.28,57.09,100,100,89
BHP,BHP Group Limited,1.26,12.12,65,41,84
AXP,American Express Company,0.43,-2.04,14,6,36
SAP,SAP SE,3.61,9.12,88,71,9
APP,AppLovin Corporation,2.2,37.36,100,100,79
ADI,"Analog Devices, Inc.",-1.23,2.88,46,34,85
HESAF,Hermès International Société en commandite par actions,0.17,1.71,14,2,8
CMWAY,Commonwealth Bank of Australia,0.99,-7.49,19,11,42
PEP,"PepsiCo, Inc.",-1.44,-9.02,0,0,31
IDEXF,"Industria de Diseño Textil, S.A.",-1.89,7.17,56,40,52
ABLZF,ABB Ltd,-0.18,5.28,35,17,84
RIO,Rio Tinto Group,-0.08,5.88,24,2,84
TMO,Thermo Fisher Scientific Inc.,1.09,2.83,100,65,34
AMGN,Amgen Inc.,0.09,-2.0,38,0,42
RTPPF,Rio Tinto Group,-0.66,4.44,23,0,83
DIS,The Walt Disney Company,-1.83,-1.85,0,0,26
TJX,"The TJX Companies, Inc.",-0.09,-0.95,38,18,46
ALIZY,Allianz SE,-0.52,1.72,0,0,50
EADSY,Airbus SE,0.29,1.13,35,23,37
SMEGF,Siemens Energy AG,-2.37,-10.02,0,0,83
DTEGY,Deutsche Telekom AG,-0.39,4.0,40,18,24
FRCOF,"Fast Retailing Co., Ltd.",0.0,1.73,93,76,77
GLW,Corning Incorporated,-0.84,10.47,33,20,95
SHOP,Shopify Inc.,3.2,-2.0,58,49,25
IBDSF,"Iberdrola, S.A.",-0.44,-2.98,0,0,49
RYCEY,Rolls-Royce Holdings plc,1.24,11.21,100,80,67
TOELY,Tokyo Electron Limited,0.93,13.05,70,61,91
SAFRY,Safran SA,0.55,12.6,99,76,41
HTHIY,"Hitachi, Ltd.",-1.37,2.43,78,57,48
WELL,Welltower Inc.,-2.36,-5.2,0,0,56
UBER,"Uber Technologies, Inc.",-0.73,-5.64,0,0,14
CIHHF,"China Merchants Bank Co., Ltd.",0.0,-3.74,0,0,32
DBSDY,DBS Group Holdings Ltd,0.82,7.2,84,50,70
COP,ConocoPhillips,-0.88,-8.71,0,0,65
PLDGP,"Prologis, Inc.",-0.78,0.43,0,0,40
BBVXF,"Banco Bilbao Vizcaya Argentaria, S.A.",5.27,3.46,74,64,69
BTAFF,British American Tobacco p.l.c.,-2.67,2.98,11,4,50
BKNG,Booking Holdings Inc.,-1.41,-0.55,51,33,17
NOW,"ServiceNow, Inc.",14.38,40.83,100,100,17
CFRUY,Compagnie Financière Richemont SA,1.7,12.98,100,100,53
IFNNF,Infineon Technologies AG,4.87,44.27,100,100,94
IFNNY,Infineon Technologies AG,2.61,43.11,100,100,94
KYCCF,Keyence Corporation,3.67,8.49,34,29,72
VRT,Vertiv Holdings Co,0.49,-3.89,1,1,93
PDD,PDD Holdings Inc.,1.7,-15.46,5,4,9
ENNPF,Enbridge Inc.,0.0,1.5,9,0,47
ZIJMF,Zijin Mining Group Company Limited,-4.69,-8.96,5,0,60
ENB,Enbridge Inc.,-1.48,0.03,10,0,59
ADTTF,Advantest Corporation,0.0,-10.5,10,3,93
NEM,Newmont Corporation,1.46,-0.92,11,8,77
BMY,Bristol-Myers Squibb Company,0.47,-5.63,5,1,55
CVS,CVS Health Corporation,-2.14,9.23,42,26,71
ACN,Accenture plc,4.86,4.68,90,68,8
ENLAY,Enel SpA,0.36,-3.61,1,0,51
PGR,The Progressive Corporation,-2.11,-5.41,0,0,14
AAGIY,AIA Group Limited,-0.53,-3.3,0,0,52
BP,BP p.l.c.,0.67,-10.62,2,1,69
PH,Parker-Hannifin Corporation,-0.96,-6.91,0,0,37
BPAQF,BP p.l.c.,0.0,-11.76,0,0,65
ZFSVF,Zurich Insurance Group AG,-1.06,2.04,1,0,29
CEG,Constellation Energy Corporation,0.5,-7.92,28,18,18
HWM,Howmet Aerospace Inc.,-0.63,6.31,23,0,71
BAMGF,Brookfield Corporation,0.0,5.25,4,0,71
FTNT,"Fortinet, Inc.",6.38,63.65,100,100,89
CME,CME Group Inc.,-1.4,-4.96,0,0,29
FDX,FedEx Corporation,0.09,2.09,91,61,84
SHECY,"Shin-Etsu Chemical Co., Ltd.",4.09,4.45,71,54,83
AXAHY,AXA SA,-0.22,1.52,11,0,41
MDT,Medtronic plc,-2.33,-8.84,0,0,10
CHDRF,Christian Dior SE,0.0,8.38,75,24,21
ESLOY,EssilorLuxottica Société anonyme,0.11,-2.43,16,2,5
ITOCF,ITOCHU Corporation,-0.58,-3.51,0,0,1
MITSY,"Mitsui & Co., Ltd.",-2.16,-12.45,0,0,68
SBKFF,State Bank of India,0.0,-15.06,0,0,19
INGVF,ING Groep N.V.,6.37,16.21,100,100,76
AEM,Agnico Eagle Mines Limited,2.91,-2.69,27,21,51
UPS,"United Parcel Service, Inc.",0.02,-0.29,67,45,52
PROSF,Prosus N.V.,0.0,-1.73,0,0,12
ATLPF,Atlas Copco AB (publ),2.08,-3.88,31,18,72
ATLCY,Atlas Copco AB (publ),-0.47,-0.88,13,0,50
CMI,Cummins Inc.,-3.3,-3.33,0,0,82
MGCLY,MGCLY,0.28,-6.0,0,0,33
ADP,"Automatic Data Processing, Inc.",0.9,4.67,62,39,18
ING,ING Groep N.V.,0.32,6.95,73,34,72
BCMXY,"Bank of Communications Co., Ltd.",0.0,12.27,93,88,60
AMT,American Tower Corporation,0.15,2.33,80,50,32
SNPMF,China Petroleum & Chemical Corporation,0.0,-9.38,0,0,35
MNST,Monster Beverage Corporation,0.1,14.29,79,62,67
NET,"Cloudflare, Inc.",6.01,17.98,68,60,77
USB,U.S. Bancorp,0.73,-3.19,21,5,58
WM,"Waste Management, Inc.",-1.37,-9.07,0,0,22
BCLYF,Barclays PLC,1.15,5.29,96,57,64
AMXOF,"América Móvil, S.A.B. de C.V.",0.0,2.26,46,18,89
OVCHY,Oversea-Chinese Banking Corporation Limited,0.66,6.47,61,23,76
NABZY,National Australia Bank Limited,0.37,-4.52,8,0,27
CHGCY,"Chugai Pharmaceutical Co., Ltd.",-0.16,-10.12,15,10,20
NXPI,NXP Semiconductors N.V.,-2.7,9.46,63,57,85
LLDTF,Lloyds Banking Group plc,0.0,2.22,90,82,65
RACE,Ferrari N.V.,-1.77,-2.04,39,17,13
BAESF,BAE Systems plc,0.81,-4.38,31,18,52
NTTYY,"NTT, Inc.",-0.72,-3.21,0,0,24
MMM,3M Company,0.18,5.05,69,50,29
EPD,Enterprise Products Partners L.P.,-1.89,-4.94,0,0,59
MCO,Moody's Corporation,0.62,-1.63,41,19,25
AMX,"América Móvil, S.A.B. de C.V.",-1.59,-4.59,0,0,62
MRSH,"Marsh & McLennan Companies, Inc.",0.28,-4.62,0,0,12
ENGQF,Engie SA,-0.28,-12.51,0,0,69
ANZGY,ANZ Group Holdings Limited,0.6,-2.82,4,2,54
SHW,The Sherwin-Williams Company,-0.43,-5.28,0,0,15
APO,"Apollo Global Management, Inc.",0.94,0.41,9,5,49
VLO,Valero Energy Corporation,-0.01,-2.61,9,5,85
CL,Colgate-Palmolive Company,-1.67,5.59,34,6,37
ORLY,"O'Reilly Automotive, Inc.",-2.63,-12.6,0,0,20
