ticker,name,daily_pct,one_month_pct,rs_sts_spy,rs_sts_qqq,ibd_rs,sector,industry
NVDA,NVIDIA Corporation,1.48,6.84,65,65,60,Technology,Semiconductors
AAPL,Apple Inc,-0.89,4.52,90,86,64,Technology,Computer Manufacturing
AVGO,Broadcom Inc,0.42,-5.58,21,18,30,Technology,Semiconductors
META,Meta Platforms Inc,-0.98,-3.03,55,54,16,Technology,Computer Software: Programming Data Processing
AMD,Advanced Micro Devices,1.1,-2.87,21,14,96,Technology,Semiconductors
ASMLF,ASML Holding N.V.,-2.91,3.71,8,6,89,Technology,Semiconductor Equipment & Materials
XOM,ExxonMobil Holdings Corporation,2.71,4.47,64,61,75,Energy,Integrated oil Companies
TCTZF,Tencent Holdings Limited,-1.66,-6.21,10,13,13,Communication Services,Internet Content & Information
MA,Mastercard Incorporated,-0.41,2.83,71,66,59,Consumer Discretionary,Business Services
LRCX,Lam Research Corporation,-5.36,2.89,8,0,94,Technology,Industrial Machinery/Components
PLTR,Palantir Technologies Inc.,0.05,48.33,100,100,68,Technology,Computer Software: Prepackaged Software
CVX,Chevron Corporation,2.12,7.64,96,95,74,Energy,Integrated oil Companies
AMAT,"Applied Materials, Inc.",-0.71,-11.45,0,0,93,Technology,Semiconductors
KO,The Coca-Cola Company,-0.44,1.23,41,41,69,Consumer Staples,Beverages (Production/Distribution)
RHHBY,Roche Holding AG,-4.77,-1.77,0,4,53,Healthcare,Drug Manufacturers - General
RHHBF,Roche Holding AG,-1.56,7.23,47,41,55,Healthcare,Drug Manufacturers - General
ACGBY,Agricultural Bank of China Limited,1.46,0.25,100,98,63,Financial Services,Banks - Diversified
BABAF,Alibaba Group Holding Limited,0.18,9.33,73,71,21,Consumer Cyclical,Internet Retail
CYATY,"Contemporary Amperex Technology Co., Limited",-2.32,-4.53,0,0,17,Industrials,Electrical Equipment & Parts
CICHY,China Construction Bank Corporation,4.63,3.2,100,100,72,Financial Services,Banks - Diversified
CICHF,China Construction Bank Corporation,7.83,6.9,100,100,78,Financial Services,Banks - Diversified
SFTBF,SoftBank Group Corp.,1.14,0.68,25,20,3,Communication Services,Telecom Services
NVS,Novartis AG,-1.67,-2.62,27,31,50,Health Care,Biotechnology: Pharmaceutical Preparations
SFTBY,SoftBank Group Corp.,-1.52,4.4,14,7,39,Communication Services,Telecom Services
